"acronym","tissue"
"ADC","Adrenal Cortex"
"ADM","Adrenal Medulla"
"PIN","Pineal"
"PIT","Pituitary"
"THR","Thyroid"
"COR","Cornea"
"IRI","Iris"
"ONH","Optic Nerve Head"
"RET","Retina"
"RPE","Retinal Pigment Epithelium"
"AXL","Axillary lymphonodes"
"BOM","Bone marrow"
"MEL","Mesenteric Lymphonodes"
"SPL","Spleen"
"TES","Testicles"
"PRO","Prostate"
"OMF","Omental Fat"
"WAM","White adipose mesenteric"
"WAP","White adipose pericardial"
"WAR","White adipose perirenal"
"WAS","White adipose subcutaneous"
"WAT","White adipose retroperitoneal"
"PAN","Pancreas"
"LIV","Liver"
"LUN","Lung"
"SKI","Skin from underbelly"
"ASC","Ascending Colon"
"CEC","Cecum"
"DEC","Descending Colon"
"DUO","Duodenum (opposite of ampula)"
"ILE","Ileum"
"OES","Oesophagus"
"ANT","Antrum"
"SMM","Smooth muscle (opposite to antrum)"
"STF","Stomach Fundus"
"AOR","Aorta (endothelium)"
"HEA","Heart"
"MUA","Muscle abdominal"
"MUG","Muscle gastrocnemian"
"BLA","Bladder"
"KIC","Kidney Cortex"
"KIM","Kidney Medulla"
"AMY","Amygdala"
"ARC","Arcuate nucleus"
"CER","Cerebellum"
"DMH","Dorsomedial hypothalamus"
"HAB","Habenula"
"HIP","Hippocampus"
"LGP","Lateral globus pallidus"
"LH","Lateral Hypothalamus"
"MGP","Medial globus pallidus"
"MMB","Mammilary bobies"
"OLB","Olfactory Bulb"
"PON","Pons"
"PRA","Preoptic Area"
"PRC","Prefrontal cortex"
"PUT","Putamen"
"PVN","Paraventricular Nuclei"
"SCN","Suprachiasmatic Nuclei"
"SON","Supraoptic nucleus"
"SUN","Substantia nigra"
"THA","thalamus"
"VIC","Visual cortex"
"VMH","Ventro medial hypothalamus"
