sample,time,batch
hs_4h_a,4h,a
hs_8h_a,8h,a
hs_12h_a,12h,a
hs_16h_a,16h,a
hs_20h_a,20h,a
hs_24h_a,24h,a
hs_28h_a,28h,a
hs_32h_a,32h,a
hs_36h_a,36h,a
hs_40h_a,40h,a
hs_44h_a,44h,a
hs_48h_a,48h,a
hs_4h_b,4h,b
hs_8h_b,8h,b
hs_12h_b,12h,b
hs_16h_b,16h,b
hs_20h_b,20h,b
hs_28h_b,28h,b
hs_32h_b,32h,b
hs_36h_b,36h,b
hs_40h_b,40h,b
hs_44h_b,44h,b
hs_48h_b,48h,b
hs_4h_c,4h,c
hs_8h_c,8h,c
hs_12h_c,12h,c
hs_16h_c,16h,c
hs_20h_c,20h,c
hs_24h_c,24h,c
hs_28h_c,28h,c
hs_32h_c,32h,c
hs_36h_c,36h,c
hs_40h_c,40h,c
hs_44h_c,44h,c
hs_48h_c,48h,c
