sample,time,batch
RP01_S37_rawCounts,4h,a
RP02_S38_rawCounts,8h,a
RP03_S39_rawCounts,12h,a
RP04_S40_rawCounts,16h,a
RP05_S41_rawCounts,20h,a
RP06_S42_rawCounts,24h,a
RP07_S43_rawCounts,28h,a
RP08_S44_rawCounts,32h,a
RP09_S45_rawCounts,36h,a
RP10_S46_rawCounts,40h,a
RP11_S47_rawCounts,44h,a
RP12_S48_rawCounts,48h,a
RP13_S49_rawCounts,4h,b
RP14_S50_rawCounts,8h,b
RP15_S51_rawCounts,12h,b
RP16_S52_rawCounts,16h,b
RP17_S53_rawCounts,20h,b
RP18_S54_rawCounts,24h,b
RP19_S55_rawCounts,28h,b
RP20_S56_rawCounts,32h,b
RP21_S57_rawCounts,36h,b
RP22_S58_rawCounts,40h,b
RP23_S59_rawCounts,44h,b
RP24_S60_rawCounts,48h,b
RP25_S61_rawCounts,4h,c
RP26_S62_rawCounts,8h,c
RP27_S63_rawCounts,12h,c
RP28_S64_rawCounts,16h,c
RP29_S65_rawCounts,20h,c
RP30_S66_rawCounts,24h,c
RP31_S67_rawCounts,28h,c
RP32_S68_rawCounts,32h,c
RP33_S69_rawCounts,36h,c
RP34_S70_rawCounts,40h,c
RP35_S71_rawCounts,44h,c
RP36_S72_rawCounts,48h,c
