"gene","n_datasets","mean_crp","sd_crp","range_crp","circ_sd_crp","phases","crp_values","dist_osmo_dex_h","dist_osmo_hs_h","dist_dex_hs_h","max_pairwise_dist_h","three_way_concordant","classification","is_core_clock"
"Arhgap44",3,0,0,0,0,"Osmo:8, Dex:12, HS:24","Osmo:0.0, Dex:0.0, HS:0.0",0,0,0,0,TRUE,"Clock-controlled",FALSE
"Bmal1",3,0,0,0,0,"Osmo:8, Dex:12, HS:24","Osmo:0.0, Dex:0.0, HS:0.0",0,0,0,0,TRUE,"Clock-controlled",TRUE
"Cry1",3,-4,0,0,0,"Osmo:4, Dex:8, HS:20","Osmo:-4.0, Dex:-4.0, HS:-4.0",0,0,0,0,TRUE,"Clock-controlled",TRUE
"Npas2",3,0,0,0,0,"Osmo:8, Dex:12, HS:24","Osmo:0.0, Dex:0.0, HS:0.0",0,0,0,0,TRUE,"Clock-controlled",TRUE
"Nr1d2",3,12,0,0,0,"Osmo:20, Dex:24, HS:12","Osmo:12.0, Dex:12.0, HS:12.0",0,0,0,0,TRUE,"Clock-controlled",TRUE
"Cnnm1",3,2.66666666666667,2.3094010767585,4,0.501312705086263,"Osmo:12, Dex:12, HS:4","Osmo:4.0, Dex:0.0, HS:4.0",4,0,4,4,TRUE,"Clock-controlled",FALSE
"Cys1",3,-5.33333333333333,2.3094010767585,4,0.501312705086263,"Osmo:4, Dex:8, HS:16","Osmo:-4.0, Dex:-4.0, HS:-8.0",0,4,4,4,TRUE,"Clock-controlled",FALSE
"Eif5a2",3,-5.33333333333333,2.3094010767585,4,0.501312705086263,"Osmo:4, Dex:4, HS:20","Osmo:-4.0, Dex:-8.0, HS:-4.0",4,0,4,4,TRUE,"Clock-controlled",FALSE
"Gprasp2",3,5.33333333333333,11.5470053837925,20,0.501312705086263,"Osmo:20, Dex:24, HS:16","Osmo:12.0, Dex:12.0, HS:-8.0",0,4,4,4,TRUE,"Clock-controlled",FALSE
"Gramd4",3,2.66666666666667,2.3094010767585,4,0.501312705086263,"Osmo:12, Dex:16, HS:24","Osmo:4.0, Dex:4.0, HS:0.0",0,4,4,4,TRUE,"Clock-controlled",FALSE
"Herpud1",3,-5.33333333333333,2.3094010767585,4,0.501312705086263,"Osmo:4, Dex:4, HS:20","Osmo:-4.0, Dex:-8.0, HS:-4.0",4,0,4,4,TRUE,"Clock-controlled",FALSE
"Nr1d1",3,10.6666666666667,2.3094010767585,4,0.501312705086263,"Osmo:20, Dex:24, HS:8","Osmo:12.0, Dex:12.0, HS:8.0",0,4,4,4,TRUE,"Clock-controlled",TRUE
"Per3",3,-5.33333333333333,2.3094010767585,4,0.501312705086263,"Osmo:4, Dex:8, HS:16","Osmo:-4.0, Dex:-4.0, HS:-8.0",0,4,4,4,TRUE,"Clock-controlled",TRUE
