"Dataset1","Dataset2","Universe_Size","Size1","Size2","Overlap","Expected","Fold_Enrichment","Jaccard_Index","P_value","Significant","BH.Q cut-off"
"Osmo","Dex",11718,847,1891,144,136.69,1.05,0.056,"2.53e-01","No","0.05"
"Osmo","HS",11807,851,4980,370,358.94,1.03,0.068,"2.23e-01","No","0.05"
"Osmo","Cartilage",11063,791,1394,102,99.67,1.02,0.049,"4.15e-01","No","0.05"
"Dex","HS",12163,1976,5155,905,837.48,1.08,0.145,"4.4e-04","Yes","0.05"
"Dex","Cartilage",11046,1795,1388,271,225.55,1.2,0.093,"3.01e-04","Yes","0.05"
"HS","Cartilage",11079,4692,1396,685,591.21,1.16,0.127,"3.7e-08","Yes","0.05"
"Osmo","Dex",11718,207,558,15,9.86,1.52,0.02,"6.95e-02","No","0.01"
"Osmo","HS",11807,208,2607,45,45.93,0.98,0.016,"5.89e-01","No","0.01"
"Osmo","Cartilage",11063,193,57,3,0.99,3.02,0.012,"7.72e-02","No","0.01"
"Dex","HS",12163,585,2710,166,130.34,1.27,0.053,"2.4e-04","Yes","0.01"
"Dex","Cartilage",11046,519,58,4,2.73,1.47,0.007,"2.9e-01","No","0.01"
"HS","Cartilage",11079,2468,58,21,12.92,1.63,0.008,"1.09e-02","Yes","0.01"
