"Background","Dataset_1","Dataset_2","Annotation_category","Background_genes","Rhythmic_genes_D1","Rhythmic_genes_D2","Eligible_terms","Enriched_terms_D1","Enriched_terms_D2","Overlapping_terms","Jaccard_index","Permutation_null_mean_Jaccard","Permutation_P","Permutation_BH_adjusted_P","Conditional_hypergeometric_BH_adjusted_P","Overlapping_term_IDs_and_names"
"Pair-specific tested-gene background","Osmo","Dex","KEGG Pathways",11323,833,1822,351,1,1,1,1,0.003,0.003996,0.07193,0.05128,"mmu04710 (Circadian rhythm)"
"Pair-specific tested-gene background","Osmo","Dex","Reactome",11323,833,1822,1239,1,10,0,0,0.0008,1,1,1,""
"Pair-specific tested-gene background","Osmo","Dex","WikiPathways",11323,833,1822,166,0,0,0,0,0,1,1,1,""
"Pair-specific tested-gene background","Osmo","HS","KEGG Pathways",11408,836,4817,351,1,2,0,0,0.004,1,1,1,""
"Pair-specific tested-gene background","Osmo","HS","Reactome",11408,836,4817,1237,1,11,0,0,0.0008182,1,1,1,""
"Pair-specific tested-gene background","Osmo","HS","WikiPathways",11408,836,4817,167,0,1,0,0,0,1,1,1,""
"Pair-specific tested-gene background","Osmo","Cartilage","KEGG Pathways",10877,787,1385,351,1,7,1,0.1429,0.003286,0.02398,0.1214,0.1026,"mmu04710 (Circadian rhythm)"
"Pair-specific tested-gene background","Osmo","Cartilage","Reactome",10877,787,1385,1222,2,4,0,0,0.0022,1,1,1,""
"Pair-specific tested-gene background","Osmo","Cartilage","WikiPathways",10877,787,1385,166,0,0,0,0,0,1,1,1,""
"Pair-specific tested-gene background","Dex","HS","KEGG Pathways",11693,1899,4968,353,1,3,0,0,0.002333,1,1,1,""
"Pair-specific tested-gene background","Dex","HS","Reactome",11693,1899,4968,1255,9,13,0,0,0.004559,1,1,1,""
"Pair-specific tested-gene background","Dex","HS","WikiPathways",11693,1899,4968,171,0,2,0,0,0,1,1,1,""
"Pair-specific tested-gene background","Dex","Cartilage","KEGG Pathways",10871,1763,1380,351,1,8,1,0.125,0.00325,0.02697,0.1214,0.1026,"mmu04710 (Circadian rhythm)"
"Pair-specific tested-gene background","Dex","Cartilage","Reactome",10871,1763,1380,1222,1,12,0,0,0.0008333,1,1,1,""
"Pair-specific tested-gene background","Dex","Cartilage","WikiPathways",10871,1763,1380,169,0,1,0,0,0,1,1,1,""
"Pair-specific tested-gene background","HS","Cartilage","KEGG Pathways",10905,4624,1388,351,0,7,0,0,0,1,1,1,""
"Pair-specific tested-gene background","HS","Cartilage","Reactome",10905,4624,1388,1221,12,12,1,0.04348,0.006313,0.1209,0.4352,0.4041,"MMU-168256 (Immune System)"
"Pair-specific tested-gene background","HS","Cartilage","WikiPathways",10905,4624,1388,169,2,1,1,0.5,0.004,0.008991,0.08092,0.1026,"WP3626 (Microglia pathogen phagocytosis pathway)"
"All-mouse background","Osmo","Dex","KEGG Pathways",21840,850,1922,362,8,47,3,0.05769,0.01878,0.07792,0.1002,0.09239,"mmu04710 (Circadian rhythm); mmu01100 (Metabolic pathways); mmu04141 (Protein processing in endoplasmic reticulum)"
"All-mouse background","Osmo","Dex","Reactome",21840,850,1922,1437,13,64,5,0.06944,0.007921,0.006993,0.01144,0.0002635,"MMU-199991 (Membrane Trafficking); MMU-5653656 (Vesicle-mediated transport); MMU-392499 (Metabolism of proteins); MMU-597592 (Post-translational protein modification); MMU-1430728 (Metabolism)"
"All-mouse background","Osmo","Dex","WikiPathways",21840,850,1922,186,1,12,1,0.08333,0.006417,0.07792,0.1002,0.08933,"WP544 (Exercise-induced circadian regulation)"
