"Background_Strategy","Background_Description","Pair_Context","Background_Genes","dataset","category","term","number_of_genes","number_of_genes_in_background","p_value","fdr","description"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Osmo","KEGG","mmu04710",11,31,6.89397848445066e-06,0.00241978644804218,"Circadian rhythm"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Osmo","RCTM","MMU-446203",34,223,3.66033694353252e-05,0.045351574730368,"Asparagine N-linked glycosylation"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","KEGG","mmu04710",20,31,1.72213488311504e-09,6.0446934397338e-07,"Circadian rhythm"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","RCTM","MMU-1266738",70,266,1.14924462105283e-05,0.0142391408548445,"Developmental Biology"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","RCTM","MMU-9013148",27,78,4.67651488881515e-05,0.028786819988083,"CDC42 GTPase cycle"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","RCTM","MMU-194138",29,88,6.97017433125496e-05,0.028786819988083,"Signaling by VEGF"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","RCTM","MMU-9013423",26,78,0.000131468119962951,0.0341505927426449,"RAC3 GTPase cycle"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","RCTM","MMU-9013149",41,145,0.00013781514423989,0.0341505927426449,"RAC1 GTPase cycle"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","RCTM","MMU-71387",53,204,0.000182695566569145,0.0377266344965284,"Metabolism of carbohydrates"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","RCTM","MMU-9675108",56,221,0.00024604002429073,0.0435490842994592,"Nervous system development"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","RCTM","MMU-1630316",28,91,0.000341588083030277,0.049880011046536,"Glycosaminoglycan metabolism"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","RCTM","MMU-422475",55,220,0.000399626844322941,0.049880011046536,"Axon guidance"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex",11323,"Dex","RCTM","MMU-4420097",26,83,0.000402582817163325,0.049880011046536,"VEGFA-VEGFR2 Pathway"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_HS",11408,"Osmo","KEGG","mmu04710",11,31,6.64294069276187e-06,0.00233167218315942,"Circadian rhythm"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_HS",11408,"Osmo","RCTM","MMU-446203",34,224,3.72094926908121e-05,0.0460281424585345,"Asparagine N-linked glycosylation"
