"Background_Strategy","Background_Description","Pair","Category","Dataset1","Dataset2","Background_Genes","Rhythmic_Genes_D1","Rhythmic_Genes_D2","Shared_Rhythmic_Genes","Eligible_Terms","Enriched_Terms_D1","Enriched_Terms_D2","Overlap","Jaccard_Index","Perm_Null_Mean_Jaccard","Perm_Null_SD_Jaccard","Perm_Null_P025_Jaccard","Perm_Null_P975_Jaccard","Perm_Null_Mean_Overlap","Perm_Null_Mean_Shared_Genes","Perm_P_value","Perm_P_BH","Significant_Perm_BH","Conditional_Hypergeom_P_value","Conditional_Hypergeom_P_BH","Significant_Conditional_BH","N_Perm_As_Or_More_Extreme","N_Permutations","Size_Only_Seed","Percent_of_D1","Percent_of_D2","Overlap_Terms"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex","KEGG Pathways","Osmo","Dex",11323,833,1822,141,351,1,1,1,1,0.003,0.054717401199198,0,0,0.003,133.687,0.003996003996004,0.0719280719280719,"No",0.00284900284900269,0.0512820512820484,"No",3,1000,43010,100,100,"mmu04710 (Circadian rhythm)"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex","Reactome","Osmo","Dex",11323,833,1822,141,1239,1,10,0,0,8e-04,0.00891288053546324,0,0,0.008,133.967,1,1,"No",1,1,"No",1000,1000,43011,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Dex","WikiPathways","Osmo","Dex",11323,833,1822,141,166,0,0,0,0,0,0,0,0,0,133.499,1,1,"No",1,1,"No",1000,1000,43012,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_HS","KEGG Pathways","Osmo","HS",11408,836,4817,361,351,1,2,0,0,0.004,0.0445644026773162,0,0,0.008,352.725,1,1,"No",1,1,"No",1000,1000,43020,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_HS","Reactome","Osmo","HS",11408,836,4817,361,1237,1,11,0,0,0.000818181818181818,0.00858979210050993,0,0,0.009,353.213,1,1,"No",1,1,"No",1000,1000,43021,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_HS","WikiPathways","Osmo","HS",11408,836,4817,361,167,0,1,0,0,0,0,0,0,0,352.857,1,1,"No",1,1,"No",1000,1000,43022,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Cartilage","KEGG Pathways","Osmo","Cartilage",10877,787,1385,103,351,1,7,1,0.142857142857143,0.00328571428571429,0.0214254728681146,0,0,0.023,100.655,0.023976023976024,0.121378621378621,"No",0.0199430199430199,0.102564102564102,"No",23,1000,43030,100,14.2857142857143,"mmu04710 (Circadian rhythm)"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Cartilage","Reactome","Osmo","Cartilage",10877,787,1385,103,1222,2,4,0,0,0.0022,0.0208709270420745,0,0,0.011,100.545,1,1,"No",1,1,"No",1000,1000,43031,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Osmo_vs_Cartilage","WikiPathways","Osmo","Cartilage",10877,787,1385,103,166,0,0,0,0,0,0,0,0,0,100.441,1,1,"No",1,1,"No",1000,1000,43032,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_HS","KEGG Pathways","Dex","HS",11693,1899,4968,870,353,1,3,0,0,0.00233333333333333,0.0278047916692988,0,0,0.007,807.959,1,1,"No",1,1,"No",1000,1000,43040,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_HS","Reactome","Dex","HS",11693,1899,4968,870,1255,9,13,0,0,0.00455864661654135,0.0170008567415262,0,0.0476190476190476,0.094,807.496,1,1,"No",1,1,"No",1000,1000,43041,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_HS","WikiPathways","Dex","HS",11693,1899,4968,870,171,0,2,0,0,0,0,0,0,0,806.622,1,1,"No",1,1,"No",1000,1000,43042,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_Cartilage","KEGG Pathways","Dex","Cartilage",10871,1763,1380,269,351,1,8,1,0.125,0.00325,0.0199018487478823,0,0.125,0.026,223.62,0.026973026973027,0.121378621378621,"No",0.0227920227920227,0.102564102564102,"No",26,1000,43050,100,12.5,"mmu04710 (Circadian rhythm)"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_Cartilage","Reactome","Dex","Cartilage",10871,1763,1380,269,1222,1,12,0,0,0.000833333333333333,0.00829571086880557,0,0,0.01,223.751,1,1,"No",1,1,"No",1000,1000,43051,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","Dex_vs_Cartilage","WikiPathways","Dex","Cartilage",10871,1763,1380,269,169,0,1,0,0,0,0,0,0,0,224.375,1,1,"No",1,1,"No",1000,1000,43052,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","HS_vs_Cartilage","KEGG Pathways","HS","Cartilage",10905,4624,1388,683,351,0,7,0,0,0,0,0,0,0,589.351,1,1,"No",1,1,"No",1000,1000,43060,0,0,""
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","HS_vs_Cartilage","Reactome","HS","Cartilage",10905,4624,1388,683,1221,12,12,1,0.0434782608695652,0.00631281761716544,0.0184310911129347,0,0.0434782608695652,0.143,588.278,0.120879120879121,0.435164835164835,"No",0.112244940821331,0.404081786956792,"No",120,1000,43061,8.33333333333333,8.33333333333333,"MMU-168256 (Immune System)"
"pair_specific_common","Genes tested in both datasets in each pair and mapped to STRING","HS_vs_Cartilage","WikiPathways","HS","Cartilage",10905,4624,1388,683,169,2,1,1,0.5,0.004,0.0445644026773162,0,0,0.008,589.312,0.00899100899100899,0.0809190809190809,"No",0.0118343195266272,0.102564102564102,"No",8,1000,43062,50,100,"WP3626 (Microglia pathogen phagocytosis pathway)"
